Image,Latitude,Longitude,lables,,,
1a.jpg,17.54698,78.15911,WC-S01-R10-PWL-001,,,
2a.jpg,17.547204,78.159406,WC-S01-R10-PWL-002,,,
3a.jpg,17.547367,78.159608,WC-S01-R10-PWL-003,,,
4a.jpg,17.547562,78.159752,WC-S01-R10-PWL-004,,,
5a.jpg,17.547783,78.159885,WC-S01-R10-PWL-005,,,
6a.jpg,17.548044,78.160045,WC-S01-R10-PWL-006,,,
7a.jpg,17.548398,78.160226,WC-S01-R10-PWL-007,,,
8a.jpg,17.548779,78.160396,WC-S01-R10-PWL-008,,,
9a.jpg,17.549108,78.160644,WC-S01-R10-PWL-009,,,
10a.jpg,17.549504,78.16078,WC-S01-R10-PWL-010,,,
11a.jpg,17.549744,78.160882,WC-S01-R10-PNL-11,,,
12a.jpg,17.549852,78.160947,WC-S01-R10-CPT-12,,,
13a.jpg,17.550233,78.161104,WC-S01-R10-PWL-13,,,
14a.jpg,17.550586,78.161327,WC-S01-R10-PWL-14,,,
15a.jpg,17.550944,78.161529,WC-S01-R10-PNL-15,,,
16a.jpg,17.551256,78.161719,WC-S01-R10-PNL-16,,,
17a.jpg,17.551638,78.161928,WC-S01-R10-PWL-17,,,
18a.jpg,17.551811,78.162071,WC-S01-R10-PWL-18,,,
19a.jpg,17.552148,78.162287,WC-S01-R10-PWL-19,,,
20a.jpg,17.552661,78.162635,WC-S01-R10-PWL-20,,,
21a.jpg,17.552881,78.162759,WC-S01-R10-PWL-21,,,
22a.jpg,17.55331,78.163008,WC-S01-R09-PWL-01,,,
23a.jpg,17.553602,78.163089,WC-S01-R09-PWL-02,,,
24a.jpg,17.553836,78.163205,WC-S01-R09-PWL-03,,,
25a.jpg,17.554032,78.163311,WC-S01-R09-PWL-04,,,
26a.jpg,17.554406,78.163461,WC-S01-R09-PNL-05,,,
27a.jpg,17.554387,78.163448,WC-S01-R17-CPM-01,,,
28a.jpg,17.554634,78.163557,WC-S01-R09-PWL-06,,,
29a.jpg,17.554794,78.163643,WC-S01-R09-PWL-07,,,
30a.jpg,17.55496,78.163763,WC-S01-R09-PWL-08,,,
31a.jpg,17.555207,78.163821,WC-S01-R09-PWL-09,,,
32a.jpg,17.555448,78.163986,WC-S01-R09-PWL-10,,,
33a.jpg,17.5555,78.163787,WC-S01-R09-PWL-11,,,
34a.jpg,17.555263,78.163569,WC-S01-R09-PWL-12,,,
